,BBLE,LTFRONT,LTDEPTH,Latitude,STORIES,FULLVAL,AVTOT,BLDFRONT,BLDDEPTH,Manhattan,Bronx,Brooklyn,Queens,TAX2,TAX4
22,1000165232,,,40.708809,44.0,282941,127323,,,1.0,0.0,0.0,0.0,1.0,0.0
23,1001731151,,,40.716407,17.0,464461,209007,,,1.0,0.0,0.0,0.0,1.0,0.0
24,1000761184,,,40.708006,25.0,195005,87752,128.0,172.0,1.0,0.0,0.0,0.0,1.0,0.0
25,1000251647,,,40.705209,44.0,291101,130995,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
26,1000162110,,,40.710233,15.0,1030433,463695,,,1.0,0.0,0.0,0.0,1.0,0.0
27,1000162693,,,40.709311,26.0,230163,103573,,,1.0,0.0,0.0,0.0,1.0,0.0
28,1002011038,,,40.715848,7.0,88460,39807,,,1.0,0.0,0.0,0.0,0.0,1.0
29,1000251719,,,40.705209,44.0,690994,310947,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
30,1000261171,,,40.706531,42.0,219449,98752,261.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0
31,1000163625,,,,31.0,411092,184991,,,1.0,0.0,0.0,0.0,1.0,0.0
32,1001001124,,,40.711541,23.0,791141,356013,,,1.0,0.0,0.0,0.0,1.0,0.0
33,1000165033,,,40.708809,44.0,306751,138038,,,1.0,0.0,0.0,0.0,1.0,0.0
34,1000441315,,,40.707665,38.0,214494,96522,151.0,149.0,1.0,0.0,0.0,0.0,1.0,0.0
35,1002171028,,,40.72221,10.0,593327,266997,,,1.0,0.0,0.0,0.0,1.0,0.0
36,1001901339,,,40.719855,14.0,1271073,571983,,,1.0,0.0,0.0,0.0,1.0,0.0
37,1001061005,,,40.709153,5.0,558679,102689,,,1.0,0.0,0.0,0.0,1.0,0.0
38,1000791101,,,40.709639,16.0,5588000,2514600,51.0,101.0,1.0,0.0,0.0,0.0,0.0,1.0
39,1000164316,,,40.717524,27.0,498479,224316,,,1.0,0.0,0.0,0.0,1.0,0.0
40,1001640030,25.0,93.0,40.715156,6.0,2575000,1158750,25.0,93.0,1.0,0.0,0.0,0.0,0.0,1.0
41,1002011076,,,40.715848,7.0,102656,46195,,,1.0,0.0,0.0,0.0,0.0,1.0
42,1000281048,,,40.70536,15.0,327447,147351,110.0,84.0,1.0,0.0,0.0,0.0,1.0,0.0
43,1001721069,,,40.717906,25.0,223138,100412,,,1.0,0.0,0.0,0.0,1.0,0.0
44,1000167177,,,40.707977,28.0,258993,116547,,,1.0,0.0,0.0,0.0,1.0,0.0
45,1001351270,,,40.714022,,581822,261820,,,1.0,0.0,0.0,0.0,1.0,0.0
46,1000169002,395.0,229.0,40.705523,40.0,107387000,48324150,,,1.0,0.0,0.0,0.0,0.0,1.0
47,1000162614,,,40.709311,26.0,408565,183854,,,1.0,0.0,0.0,0.0,1.0,0.0
48,1000761266,,,40.708006,25.0,195005,87752,128.0,172.0,1.0,0.0,0.0,0.0,1.0,0.0
49,1002041014,,,40.717711,7.0,329335,148201,100.0,80.0,1.0,0.0,0.0,0.0,1.0,0.0
50,1000162440,133.0,122.0,40.710118,15.0,232503,104626,,,1.0,0.0,0.0,0.0,1.0,0.0
51,1000169015,,,40.705551,40.0,483172,217427,,,1.0,0.0,0.0,0.0,1.0,0.0
52,1000781621,,,40.7089,13.0,284754,128139,122.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0
53,1001931710,,,40.719012,9.0,714487,321519,50.0,76.0,1.0,0.0,0.0,0.0,1.0,0.0
54,1000880002,75.0,101.0,40.71176,4.0,5780000,2601000,75.0,99.0,1.0,0.0,0.0,0.0,0.0,1.0
55,1000161498,,,40.706171,35.0,567568,255406,202.0,102.0,1.0,0.0,0.0,0.0,1.0,0.0
56,1000441384,,,40.707665,38.0,642294,289032,151.0,149.0,1.0,0.0,0.0,0.0,1.0,0.0
57,1002090001,126.0,62.0,40.719141,3.0,10192000,4586400,126.0,62.0,1.0,0.0,0.0,0.0,0.0,1.0
58,1001971181,,,40.717217,9.0,278514,125331,146.0,105.0,1.0,0.0,0.0,0.0,0.0,1.0
59,1000781509,49.0,81.0,40.709642,9.0,328646,147891,,,1.0,0.0,0.0,0.0,1.0,0.0
60,1000181030,,,40.707731,38.0,194998,87749,175.0,146.0,1.0,0.0,0.0,0.0,1.0,0.0
61,1000531352,,,40.709139,58.0,344513,155031,60.0,110.0,1.0,0.0,0.0,0.0,1.0,0.0
62,1001630027,24.0,87.0,40.715304,5.0,2165000,974250,24.0,78.0,1.0,0.0,0.0,0.0,1.0,0.0
63,1000171325,,,40.708005,64.0,500520,225234,,,1.0,0.0,0.0,0.0,1.0,0.0
64,1000167266,,,40.707977,28.0,262096,117943,,,1.0,0.0,0.0,0.0,1.0,0.0
65,1000163059,,,40.708921,9.0,252555,113650,,,1.0,0.0,0.0,0.0,1.0,0.0
66,1000251632,,,40.705209,44.0,542088,243940,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
67,1001401420,100.0,76.0,40.715987,17.0,362835,163276,100.0,76.0,1.0,0.0,0.0,0.0,1.0,0.0
68,1000162125,,,40.710233,15.0,240810,108365,,,1.0,0.0,0.0,0.0,1.0,0.0
69,1001901410,,,40.719847,17.0,17182,7732,,,1.0,0.0,0.0,0.0,0.0,1.0
70,1001331503,,,40.714634,6.0,231077,103985,,,1.0,0.0,0.0,0.0,1.0,0.0
71,1001721124,,,40.717906,25.0,169039,76068,,,1.0,0.0,0.0,0.0,1.0,0.0
72,1000162745,,,40.709311,26.0,469559,211302,,,1.0,0.0,0.0,0.0,1.0,0.0
73,1001761046,,,40.717898,56.0,564052,253823,,,1.0,0.0,0.0,0.0,1.0,0.0
74,1000163365,,,40.70927,23.0,214639,96588,,,1.0,0.0,0.0,0.0,1.0,0.0
75,1000391118,,,40.70587,12.0,253593,114117,,,1.0,0.0,0.0,0.0,1.0,0.0
76,1000251679,,,40.705209,44.0,530849,238882,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
77,1001721301,,,40.717621,6.0,512336,136250,,,1.0,0.0,0.0,0.0,1.0,0.0
78,1000791210,,,40.710372,13.0,1027395,462328,57.0,110.0,1.0,0.0,0.0,0.0,1.0,0.0
79,1000167248,,,40.707977,28.0,238274,107223,,,1.0,0.0,0.0,0.0,1.0,0.0
80,1000162261,122.0,104.0,40.709709,18.0,172723,77725,,,1.0,0.0,0.0,0.0,1.0,0.0
81,1001901207,,,40.719868,8.0,645568,290506,,,1.0,0.0,0.0,0.0,1.0,0.0
82,1000521101,,,40.709938,11.0,330021,148509,,,1.0,0.0,0.0,0.0,0.0,1.0
83,1001332005,,,40.714445,11.0,456234,205305,,,1.0,0.0,0.0,0.0,1.0,0.0
84,1001991040,,,40.717247,6.0,108906,49008,,,1.0,0.0,0.0,0.0,0.0,1.0
85,1000251575,,,40.705209,44.0,291101,130995,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
86,1000311145,,,40.705486,36.0,593807,267213,115.0,298.0,1.0,0.0,0.0,0.0,1.0,0.0
87,1000161163,,,40.709506,27.0,385845,173630,,,1.0,0.0,0.0,0.0,1.0,0.0
88,1001751531,,,40.718024,19.0,715676,322054,50.0,130.0,1.0,0.0,0.0,0.0,1.0,0.0
89,1000681264,,,40.708184,17.0,189857,85436,,,1.0,0.0,0.0,0.0,1.0,0.0
90,1000167187,,,40.707977,28.0,308722,138925,,,1.0,0.0,0.0,0.0,1.0,0.0
91,1000241098,,,40.706021,30.0,552342,248554,,,1.0,0.0,0.0,0.0,1.0,0.0
92,1001321013,,,40.715221,11.0,234532,105539,,,1.0,0.0,0.0,0.0,1.0,0.0
93,1000311163,,,40.705486,36.0,593807,267213,115.0,298.0,1.0,0.0,0.0,0.0,1.0,0.0
94,1001731117,,,40.716407,17.0,523551,235598,,,1.0,0.0,0.0,0.0,1.0,0.0
95,1002050017,25.0,100.0,40.718041,5.0,1390000,625500,25.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0
96,1000901219,,,40.71086,46.0,367668,165451,,,1.0,0.0,0.0,0.0,1.0,0.0
97,1000261046,,,40.706531,42.0,219449,98752,261.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0
98,1002141234,171.0,100.0,40.721367,15.0,1890764,850844,,,1.0,0.0,0.0,0.0,1.0,0.0
99,1000164152,,,40.709097,9.0,245171,110327,,,1.0,0.0,0.0,0.0,1.0,0.0
100,1001801302,,,40.718062,5.0,561469,138342,,,1.0,0.0,0.0,0.0,1.0,0.0
101,1002181205,,,40.722226,7.0,974856,407664,50.0,82.0,1.0,0.0,0.0,0.0,1.0,0.0
102,1000168074,,,40.708037,9.0,156201,70290,,,1.0,0.0,0.0,0.0,1.0,0.0
103,1000290001,236.0,290.0,40.704215,31.0,206303000,92836350,115.0,246.0,1.0,0.0,0.0,0.0,0.0,1.0
104,1000161769,,,40.70706,33.0,575577,259010,200.0,198.0,1.0,0.0,0.0,0.0,1.0,0.0
105,1000270017,144.0,145.0,40.705749,25.0,81216000,36547200,143.0,140.0,1.0,0.0,0.0,0.0,1.0,0.0
106,1001711223,,175.0,40.716825,12.0,520749,234337,61.0,175.0,1.0,0.0,0.0,0.0,1.0,0.0
107,1000162408,133.0,122.0,40.710118,15.0,229905,103457,,,1.0,0.0,0.0,0.0,1.0,0.0
108,1001711243,,175.0,40.716825,12.0,755896,340153,61.0,175.0,1.0,0.0,0.0,0.0,1.0,0.0
109,1000441283,,,40.707665,38.0,334393,150477,151.0,149.0,1.0,0.0,0.0,0.0,1.0,0.0
110,1001721002,,,40.717906,25.0,152619,68679,,,1.0,0.0,0.0,0.0,1.0,0.0
111,1000741018,,,40.70727,35.0,7441727,3348777,,,1.0,0.0,0.0,0.0,0.0,1.0
112,1001421817,,,40.715111,63.0,148727,66927,,,1.0,0.0,0.0,0.0,1.0,0.0
113,1000151309,,,40.706358,45.0,165481,74466,78.0,179.0,1.0,0.0,0.0,0.0,1.0,0.0
114,1000241070,,,40.706021,30.0,440433,198195,,,1.0,0.0,0.0,0.0,1.0,0.0
115,1000841047,,,40.713843,,512494,230622,,,1.0,0.0,0.0,0.0,1.0,0.0
116,1001231003,,,40.712633,,1553048,698872,,,1.0,0.0,0.0,0.0,1.0,0.0
117,1000164444,,,40.717524,27.0,492667,221700,,,1.0,0.0,0.0,0.0,1.0,0.0
118,1000162221,122.0,104.0,40.709709,18.0,198777,89450,,,1.0,0.0,0.0,0.0,1.0,0.0
119,1001471617,50.0,176.0,40.716704,7.0,490409,220684,50.0,176.0,1.0,0.0,0.0,0.0,1.0,0.0
120,1000181299,,,40.707731,38.0,188411,84785,175.0,146.0,1.0,0.0,0.0,0.0,1.0,0.0
121,1000110017,33.0,100.0,40.704651,6.0,5151000,2317950,33.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0
122,1001491130,,,40.714879,20.0,595725,268076,,,1.0,0.0,0.0,0.0,1.0,0.0
123,1000331021,,,40.704937,,542233,244005,,,1.0,0.0,0.0,0.0,1.0,0.0
124,1001471706,74.0,175.0,40.716281,6.0,534501,240525,75.0,176.0,1.0,0.0,0.0,0.0,1.0,0.0
125,1000311113,,,40.705486,36.0,372903,167806,115.0,298.0,1.0,0.0,0.0,0.0,1.0,0.0
126,1001421618,,,40.715757,32.0,616924,277616,,,1.0,0.0,0.0,0.0,1.0,0.0
127,1000165100,,,40.708809,44.0,264186,118884,,,1.0,0.0,0.0,0.0,1.0,0.0
128,1001461009,98.0,62.0,40.715746,7.0,462499,208125,,,1.0,0.0,0.0,0.0,1.0,0.0
129,1001751005,,,40.717914,,806277,362825,,,1.0,0.0,0.0,0.0,0.0,1.0
130,1000163003,,,40.708921,9.0,231231,104054,,,1.0,0.0,0.0,0.0,1.0,0.0
131,1000161929,,,40.70706,33.0,1226229,551803,200.0,198.0,1.0,0.0,0.0,0.0,1.0,0.0
132,1001231161,,,40.712987,70.0,769068,346081,,,1.0,0.0,0.0,0.0,1.0,0.0
133,1001241006,,,40.713437,5.0,542000,69188,,,1.0,0.0,0.0,0.0,1.0,0.0
134,1001401214,,,40.716437,5.0,916194,412287,,,1.0,0.0,0.0,0.0,1.0,0.0
135,1000161907,,,40.70706,33.0,475477,213965,200.0,198.0,1.0,0.0,0.0,0.0,1.0,0.0
136,1000163688,,,,31.0,260580,117261,,,1.0,0.0,0.0,0.0,1.0,0.0
137,1000163699,,,,31.0,565071,254282,,,1.0,0.0,0.0,0.0,1.0,0.0
138,1000621011,,,40.70943,54.0,8415275,3786874,,,1.0,0.0,0.0,0.0,0.0,1.0
139,1000181041,,,40.707731,38.0,153975,69289,175.0,146.0,1.0,0.0,0.0,0.0,1.0,0.0
140,1000165264,,,40.708809,44.0,294224,132401,,,1.0,0.0,0.0,0.0,1.0,0.0
141,1000168081,,,40.708037,9.0,419811,188915,,,1.0,0.0,0.0,0.0,1.0,0.0
142,1002171416,,,40.721759,7.0,1006181,452781,,,1.0,0.0,0.0,0.0,1.0,0.0
143,1000171328,,,40.708005,64.0,1066499,479925,,,1.0,0.0,0.0,0.0,1.0,0.0
144,1001731312,,,40.716668,6.0,3841883,1728847,87.0,200.0,1.0,0.0,0.0,0.0,0.0,1.0
145,1000960005,62.0,205.0,40.707081,4.0,19625000,8831250,20.0,65.0,1.0,0.0,0.0,0.0,0.0,1.0
146,1002221121,,,40.723083,7.0,774603,348571,,,1.0,0.0,0.0,0.0,1.0,0.0
147,1001941901,,,40.718924,6.0,2119107,473346,,,1.0,0.0,0.0,0.0,1.0,0.0
148,1000165609,,,40.709448,15.0,369386,166224,247.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0
149,1000911308,,,40.709749,10.0,371414,167136,196.0,118.0,1.0,0.0,0.0,0.0,1.0,0.0
150,1001801406,,,40.718216,,804497,154350,,,1.0,0.0,0.0,0.0,1.0,0.0
151,1000161451,,,40.706171,35.0,367872,165542,202.0,102.0,1.0,0.0,0.0,0.0,1.0,0.0
152,1000261342,,,40.706531,42.0,911708,410269,261.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0
153,1000171342,,,40.708005,64.0,704772,317147,,,1.0,0.0,0.0,0.0,1.0,0.0
154,1002030021,49.0,111.0,40.716935,6.0,8239000,3707550,50.0,105.0,1.0,0.0,0.0,0.0,0.0,1.0
155,1001001029,,,40.711541,23.0,144102,64846,,,1.0,0.0,0.0,0.0,1.0,0.0
156,1001990001,25.0,100.0,40.71649,5.0,3421000,257049,25.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0
157,1001341459,74.0,176.0,40.713588,10.0,325077,146285,74.0,176.0,1.0,0.0,0.0,0.0,1.0,0.0
158,1000163734,,,,31.0,538637,242387,,,1.0,0.0,0.0,0.0,1.0,0.0
159,1001331903,,,40.71473,6.0,1597472,254336,,,1.0,0.0,0.0,0.0,1.0,0.0
160,1000070031,36.0,46.0,40.703032,5.0,2155000,969750,36.0,44.0,1.0,0.0,0.0,0.0,0.0,1.0
161,1000163729,,,,31.0,624438,280997,,,1.0,0.0,0.0,0.0,1.0,0.0
162,1000781764,,,40.709241,14.0,319319,143694,,,1.0,0.0,0.0,0.0,1.0,0.0
163,1000165219,,,40.708809,44.0,275438,123947,,,1.0,0.0,0.0,0.0,1.0,0.0
164,1000163382,,,40.70927,23.0,244201,109890,,,1.0,0.0,0.0,0.0,1.0,0.0
165,1000181288,,,40.707731,38.0,194998,87749,175.0,146.0,1.0,0.0,0.0,0.0,1.0,0.0
166,1001471302,,,40.716822,6.0,645638,121204,,,1.0,0.0,0.0,0.0,1.0,0.0
167,1000261078,,,40.706531,42.0,219449,98752,261.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0
168,1002190004,75.0,83.0,40.722053,5.0,5468000,2460600,76.0,81.0,1.0,0.0,0.0,0.0,0.0,1.0
169,1000163404,,,40.70927,23.0,246710,111020,,,1.0,0.0,0.0,0.0,1.0,0.0
170,1000162302,122.0,104.0,40.709709,18.0,418203,188191,,,1.0,0.0,0.0,0.0,1.0,0.0
171,1000551005,,,40.708356,19.0,3520522,1584235,176.0,177.0,1.0,0.0,0.0,0.0,0.0,1.0
172,1001731191,,,40.716407,17.0,1093382,492022,,,1.0,0.0,0.0,0.0,1.0,0.0
173,1000181373,,,40.707731,38.0,327296,147283,175.0,146.0,1.0,0.0,0.0,0.0,1.0,0.0
174,1000163296,,,40.70927,23.0,246710,111020,,,1.0,0.0,0.0,0.0,1.0,0.0
175,1000241118,,,40.706021,30.0,414775,186649,,,1.0,0.0,0.0,0.0,1.0,0.0
176,1000681232,,,40.708184,17.0,317950,143078,,,1.0,0.0,0.0,0.0,1.0,0.0
177,1001491141,,,40.714879,20.0,511200,230040,,,1.0,0.0,0.0,0.0,1.0,0.0
178,1002010018,47.0,100.0,40.716575,6.0,24747000,11136150,47.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0
179,1001231013,,,40.712633,,986880,444096,,,1.0,0.0,0.0,0.0,1.0,0.0
180,1000681001,94.0,119.0,40.708445,26.0,822645,370190,90.0,117.0,1.0,0.0,0.0,0.0,0.0,1.0
181,1000311288,,,40.705486,36.0,392269,176521,115.0,298.0,1.0,0.0,0.0,0.0,1.0,0.0
182,1001371123,,,40.716009,11.0,588000,264600,,,1.0,0.0,0.0,0.0,1.0,0.0
183,1002191018,,,40.722221,9.0,651259,293067,,,1.0,0.0,0.0,0.0,1.0,0.0
184,1000531113,,,40.709089,13.0,1049,472,110.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0
185,1000261381,,,40.706531,42.0,374135,168361,261.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0
186,1000162661,,,40.709311,26.0,255499,114975,,,1.0,0.0,0.0,0.0,1.0,0.0
187,1000164484,,,40.717524,27.0,778969,350536,,,1.0,0.0,0.0,0.0,1.0,0.0
188,1001721424,,,40.716951,19.0,490134,220560,75.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0
189,1001901811,175.0,64.0,40.719756,9.0,2015898,907154,175.0,64.0,1.0,0.0,0.0,0.0,1.0,0.0
190,1000701033,,,40.706397,16.0,221898,99854,,,1.0,0.0,0.0,0.0,0.0,1.0
191,1001971132,,,40.717217,9.0,247744,111485,146.0,105.0,1.0,0.0,0.0,0.0,0.0,1.0
192,1001750033,50.0,150.0,40.717478,8.0,18504000,8326800,50.0,150.0,1.0,0.0,0.0,0.0,1.0,0.0
193,1000531278,,,40.709139,58.0,213670,96152,60.0,110.0,1.0,0.0,0.0,0.0,1.0,0.0
194,1001371104,,,40.716009,11.0,288326,129747,,,1.0,0.0,0.0,0.0,1.0,0.0
195,1002151144,,,40.721562,10.0,477971,215087,173.0,125.0,1.0,0.0,0.0,0.0,1.0,0.0
196,1000163341,,,40.70927,23.0,221358,99611,,,1.0,0.0,0.0,0.0,1.0,0.0
197,1000251470,,,40.705209,44.0,346980,156141,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
198,1001881240,,,40.720006,9.0,499187,224634,,,1.0,0.0,0.0,0.0,1.0,0.0
199,1000169076,,,40.705551,40.0,704027,316812,,,1.0,0.0,0.0,0.0,1.0,0.0
200,1001401121,83.0,144.0,40.716745,11.0,167535,75391,,,1.0,0.0,0.0,0.0,1.0,0.0
201,1001901226,,,40.719885,8.0,972522,437635,,,1.0,0.0,0.0,0.0,1.0,0.0
202,1000251539,,,40.705209,44.0,572524,257636,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
203,1000761311,,,40.708006,25.0,173338,78002,128.0,172.0,1.0,0.0,0.0,0.0,1.0,0.0
204,1010010012,40.0,200.0,,,3990000,1795500,,,1.0,0.0,0.0,0.0,0.0,1.0
205,1000681124,94.0,119.0,40.708445,26.0,374554,168549,90.0,117.0,1.0,0.0,0.0,0.0,1.0,0.0
206,1000911303,,,40.709749,10.0,169931,76469,196.0,118.0,1.0,0.0,0.0,0.0,1.0,0.0
207,1000166149,,,40.708114,9.0,460772,207347,,,1.0,0.0,0.0,0.0,1.0,0.0
208,1002181003,,,40.722262,8.0,550171,228098,,,1.0,0.0,0.0,0.0,1.0,0.0
209,1001421377,,,40.716863,29.0,12667,5700,190.0,221.0,1.0,0.0,0.0,0.0,0.0,1.0
210,1000530004,50.0,92.0,40.708513,6.0,1522000,684900,50.0,90.0,1.0,0.0,0.0,0.0,0.0,1.0
211,1001371098,,,40.716009,11.0,186722,84025,,,1.0,0.0,0.0,0.0,1.0,0.0
212,1000168042,,,40.708037,9.0,154444,69500,,,1.0,0.0,0.0,0.0,1.0,0.0
213,1000162794,,,40.709311,26.0,451110,203000,,,1.0,0.0,0.0,0.0,1.0,0.0
214,1000165663,,,40.709448,15.0,259829,116923,247.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0
215,1000163257,,,40.70927,23.0,214639,96588,,,1.0,0.0,0.0,0.0,1.0,0.0
216,1001321056,,,40.715221,11.0,304065,136829,,,1.0,0.0,0.0,0.0,1.0,0.0
217,1000163655,,,,31.0,415137,186812,,,1.0,0.0,0.0,0.0,1.0,0.0
218,1001440028,23.0,50.0,40.71686,4.0,2005000,309617,24.0,48.0,1.0,0.0,0.0,0.0,1.0,0.0
219,1000311302,,,40.705486,36.0,370425,166691,115.0,298.0,1.0,0.0,0.0,0.0,1.0,0.0
220,1001901447,,,40.719847,17.0,885833,398625,,,1.0,0.0,0.0,0.0,1.0,0.0
221,1001421678,,,40.715757,32.0,740610,333275,,,1.0,0.0,0.0,0.0,1.0,0.0
222,1000167234,,,40.707977,28.0,217547,97896,,,1.0,0.0,0.0,0.0,1.0,0.0
223,1002081012,,,40.718897,11.0,319460,143757,,,1.0,0.0,0.0,0.0,1.0,0.0
224,1000168149,,,40.708037,9.0,261221,117549,,,1.0,0.0,0.0,0.0,1.0,0.0
225,1001411402,,,40.717291,5.0,747484,172963,,,1.0,0.0,0.0,0.0,1.0,0.0
226,1000161012,,,40.709506,27.0,288281,129726,,,1.0,0.0,0.0,0.0,1.0,0.0
227,1000181363,,,40.707731,38.0,237224,106751,175.0,146.0,1.0,0.0,0.0,0.0,1.0,0.0
228,1000167102,,,40.707977,28.0,250706,112818,,,1.0,0.0,0.0,0.0,1.0,0.0
229,1001461402,,109.0,40.716424,6.0,3200000,588419,33.0,109.0,1.0,0.0,0.0,0.0,1.0,0.0
230,1000162498,133.0,122.0,40.710118,15.0,237681,106956,,,1.0,0.0,0.0,0.0,1.0,0.0
231,1000390001,92.0,53.0,40.705415,12.0,10680000,4806000,92.0,52.0,1.0,0.0,0.0,0.0,0.0,1.0
232,1002141101,142.0,76.0,40.721073,16.0,393023,176860,143.0,76.0,1.0,0.0,0.0,0.0,0.0,1.0
233,1000161847,,,40.70706,33.0,475477,213965,200.0,198.0,1.0,0.0,0.0,0.0,1.0,0.0
234,1001991008,,,40.717247,6.0,116677,52505,,,1.0,0.0,0.0,0.0,0.0,1.0
235,1001331003,,,40.714,,694114,170755,,,1.0,0.0,0.0,0.0,1.0,0.0
236,1002141212,171.0,100.0,40.721367,15.0,786744,354035,,,1.0,0.0,0.0,0.0,1.0,0.0
237,1001231169,,,40.712987,70.0,1325233,596355,,,1.0,0.0,0.0,0.0,1.0,0.0
238,1001731144,,,40.716407,17.0,156611,70475,,,1.0,0.0,0.0,0.0,1.0,0.0
239,1001471402,,,40.716761,6.0,439569,126782,,,1.0,0.0,0.0,0.0,1.0,0.0
240,1002011023,,,40.715848,7.0,46680,21006,,,1.0,0.0,0.0,0.0,0.0,1.0
241,1001971154,,,40.717217,9.0,215752,97088,146.0,105.0,1.0,0.0,0.0,0.0,0.0,1.0
242,1000151292,,,40.706358,45.0,153808,69214,78.0,179.0,1.0,0.0,0.0,0.0,1.0,0.0
243,1000166154,,,40.708114,9.0,304953,137229,,,1.0,0.0,0.0,0.0,1.0,0.0
244,1000181197,,,40.707731,38.0,239252,107663,175.0,146.0,1.0,0.0,0.0,0.0,1.0,0.0
245,1000168002,,,40.708037,9.0,3020000,1359000,,,1.0,0.0,0.0,0.0,0.0,1.0
246,1001621033,50.0,155.0,40.713737,8.0,196417,88388,,,1.0,0.0,0.0,0.0,0.0,1.0
247,1000163758,,,,31.0,718617,323378,,,1.0,0.0,0.0,0.0,1.0,0.0
248,1000910013,117.0,74.0,40.710105,5.0,10976000,4939200,74.0,118.0,1.0,0.0,0.0,0.0,0.0,1.0
249,1000791150,,,40.709639,16.0,435349,195907,51.0,101.0,1.0,0.0,0.0,0.0,1.0,0.0
250,1001321003,,,40.715221,11.0,276480,124416,,,1.0,0.0,0.0,0.0,1.0,0.0
251,1001881208,,,40.720006,9.0,311280,140076,,,1.0,0.0,0.0,0.0,1.0,0.0
252,1001421827,,,40.715111,63.0,149833,67425,,,1.0,0.0,0.0,0.0,1.0,0.0
253,1001410012,25.0,53.0,40.716531,4.0,1552000,698400,25.0,54.0,1.0,0.0,0.0,0.0,0.0,1.0
254,1001421404,,,40.716863,29.0,12667,5700,190.0,221.0,1.0,0.0,0.0,0.0,0.0,1.0
255,1002121301,,,40.72117,8.0,31016392,13957376,,,1.0,0.0,0.0,0.0,0.0,1.0
256,1000162756,,,40.709311,26.0,496134,223260,,,1.0,0.0,0.0,0.0,1.0,0.0
257,1001941509,,,40.719731,7.0,482323,217045,,,1.0,0.0,0.0,0.0,1.0,0.0
